metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
reversal,examples,,,,,"[{""window"": ""30s"", ""signal_id"": ""sig_6169bc0d593633bd"", ""asset_case_id"": ""asset_case:ETH:fd142127cc"", ""pair_label"": ""ETH/USDC"", ""direction_bucket"": ""sell_pressure"", ""trade_action_key"": ""SHORT_BIAS_OBSERVE"", ""lp_confirm_quality"": """", ""lp_confirm_scope"": """", ""lp_absorption_context"": ""pool_only_unconfirmed_pressure"", ""lp_broader_alignment"": ""weak_or_missing"", ""move_before_alert_30s"": -0.000382, ""raw_move_after"": 0.00381, ""direction_adjusted_move_after"": -0.00381, ""judgement_reasons"": [""possible code misclassification""], ""notifier_line1"": ""偏空观察｜ETH/USDC｜当前不满足多源确认、后验准入或风险过滤，保持无机会。""}, {""window"": ""30s"", ""signal_id"": ""sig_f86af41a30295fe5"", ""asset_case_id"": ""asset_case:ETH:fd142127cc"", ""pair_label"": ""ETH/USDC"", ""direction_bucket"": ""sell_pressure"", ""trade_action_key"": ""DO_NOT_CHASE_SHORT"", ""lp_confirm_quality"": ""late_confirm"", ""lp_confirm_scope"": ""local_confirm"", ""lp_absorption_context"": ""pool_only_unconfirmed_pressure"", ""lp_broader_alignment"": ""weak_or_missing"", ""move_before_alert_30s"": -0.00048, ""raw_move_after"": 0.000996, ""direction_adjusted_move_after"": -0.000996, ""judgement_reasons"": [""late_confirm / chase_risk"", ""local_confirm rather than broader_confirm""], ""notifier_line1"": ""不追空｜ETH/USDC｜当前不满足多源确认、后验准入或风险过滤，保持无机会。""}, {""window"": ""30s"", ""signal_id"": ""sig_a0042ab13b5ab37d"", ""asset_case_id"": ""asset_case:ETH:09f62abe5e"", ""pair_label"": ""ETH/USDC"", ""direction_bucket"": ""sell_pressure"", ""trade_action_key"": ""SHORT_CHASE_ALLOWED"", ""lp_confirm_quality"": ""clean_confirm"", ""lp_confirm_scope"": ""broader_confirm"", ""lp_absorption_context"": ""broader_sell_pressure_confirmed"", ""lp_broader_alignment"": ""confirmed"", ""move_before_alert_30s"": -0.002637, ""raw_move_after"": 0.000827, ""direction_adjusted_move_after"": -0.000827, ""judgement_reasons"": [""possible code misclassification""], ""notifier_line1"": ""可顺势追空｜ETH/USDC｜后验统计明显不健康，继续提示机会只会增加错误交易诱导。""}, {""window"": ""30s"", ""signal_id"": ""sig_f6a97ac2150a4ce2"", ""asset_case_id"": ""asset_case:ETH:f4cb63b456"", ""pair_label"": ""ETH/USDC"", ""direction_bucket"": ""buy_pressure"", ""trade_action_key"": ""CONFLICT_NO_TRADE"", ""lp_confirm_quality"": ""late_confirm"", ""lp_confirm_scope"": ""local_confirm"", ""lp_absorption_context"": ""local_buy_pressure_absorption"", ""lp_broader_alignment"": ""weak_or_missing"", ""move_before_alert_30s"": 0.005886, ""raw_move_after"": -0.002311, ""direction_adjusted_move_after"": -0.002311, ""judgement_reasons"": [""late_confirm / chase_risk"", ""local_confirm rather than broader_confirm"", ""single_pool / low resonance"", ""local_buy_pressure_absorption""], ""notifier_line1"": ""不交易｜ETH/USDC｜当前不满足多源确认、后验准入或风险过滤，保持无机会。""}, {""window"": ""30s"", ""signal_id"": ""sig_542e32070f556ffd"", ""asset_case_id"": ""asset_case:ETH:09f62abe5e"", ""pair_label"": ""ETH/USDT"", ""direction_bucket"": ""sell_pressure"", ""trade_action_key"": ""DO_NOT_CHASE_SHORT"", ""lp_confirm_quality"": ""late_confirm"", ""lp_confirm_scope"": ""local_confirm"", ""lp_absorption_context"": ""pool_only_unconfirmed_pressure"", ""lp_broader_alignment"": ""weak_or_missing"", ""move_before_alert_30s"": -0.006225, ""raw_move_after"": 0.000151, ""direction_adjusted_move_after"": -0.000151, ""judgement_reasons"": [""late_confirm / chase_risk"", ""local_confirm rather than broader_confirm""], ""notifier_line1"": ""不追空｜ETH/USDT｜当前不满足多源确认、后验准入或风险过滤，保持无机会。""}]",5,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,research_sampling_readiness,,,,,4.8,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,trade_action_usable,,,,,9.1,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,chase_allowed_credibility,,,,,6.6,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,no_trade_do_not_chase_protection_value,,,,,6.1,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,prealert_effectiveness,,,,,6.5,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,live_market_context_readiness,,,,,8.2,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,confirm_honesty_non_misleading_quality,,,,,7.9,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,sweep_quality,,,,,7.9,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
score,adverse_direction_correctness,,,,,9.3,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
